_index,fecha,¿Cuántos años cumplidos tiene?,Cuál es su género?,Grupo étnico,Víctima del conflicto,RUV,Tipo de discapacidad,¿Cuenta con SISBEN?,¿Cuál es el parentesco suyo con el jefe o jefa del hogar en su vivienda?,¿Dónde queda ubicada su vivienda?,¿En qué barrio vive?,Escriba el nombre del barrio que NO se encuentra en la lista...180,¿En qué corregimiento o vereda reside?,¿En qué departamento queda ubicado el municipio?,Seleccione un municipio de: Bolívar...,Hora de Apertura del Comercio,Hora Cierre del Comercio,¿Cuántos trabajadores tiene?,¿Cuántos trabajadores extranjeros tiene?,"En su mayoría, ¿qué tipo de contrato tienen sus trabajadores?","En su mayoría, ¿los contratos de trabajo son a término indefinido o a término fijo?",¿Tiene registro ante la Cámara de Comercio?,¿Su registro ante la Cámara de Comercio está actualizado a 2021?,¿Cuál es la Actividad Económica Principal (Código CIIU) que aparece en su Cámara de Comercio?,¿Tiene registro ante la DIAN (RUT)?,"Otro, ¿cuál?...","Se dedica usted al comercio al por mayor, al comercio al por menor o ambos","En un día promedio, ¿cuánto invierte en mercancía?...",Tipo de producto/servicio,País,Municipio,Departamento,Eres_Cartagenero,motivo_de_cambio,Afiliación a EPS,Medio de transporte,Nivel de escolaridad,seguridad social sin salud,Manejo de basuras
986,08/02/2021 12:00:00 AM,43,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La Esperanza,NS/NR,NS/NR,NS/NR,NS/NR,08:00:00.000-05:00,05:00:00.000-05:00,2,2.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,200.0,Otro,Colombia,Cartagena,Bolívar,Sí,NS/NR,No afiliado,Mototaxi,Bachiller,No afiliado,La recoge el servicio de aseo
987,07/30/2021 12:00:00 AM,49,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Nuevo Bosque,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,04:00:00.000-05:00,0,0.0,NS/NR,Sin información,NS/NR,SI,NS/NR,NS/NR,NS/NR,Comercio al por mayor,400.0,Otro,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Bachiller,No afiliado,La recoge el servicio de aseo
992,07/30/2021 12:00:00 AM,38,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Los Cerros,NS/NR,NS/NR,NS/NR,NS/NR,06:06:00.000-05:00,04:06:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,250.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Bachiller,No afiliado,La recoge el servicio de aseo
993,07/30/2021 12:00:00 AM,67,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Barrio Chino,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,05:00:00.000-05:00,0,0.0,NS/NR,Sin información,NS/NR,SI,NS/NR,NS/NR,NS/NR,Comercio al por menor,200.0,Ninguno de los anteriores,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Primaria completa,No afiliado,La recoge el servicio de aseo
994,07/30/2021 12:00:00 AM,48,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,03:01:00.000-05:00,03:01:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,80000.0,Otro,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Primaria incompleta,No afiliado,La recoge el servicio de aseo
995,07/30/2021 12:00:00 AM,49,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,08:00:00.000-05:00,04:30:00.000-05:00,2,0.0,Escrito,,NS/NR,SI,NS/NR,NS/NR,NS/NR,Comercio al por menor,200.0,"Artículos de ferretería, pinturas y productos de vidrio",Colombia,Cartagena,Bolívar,Sí,NS/NR,Contributivo,Mototaxi,Técnico o tecnológico,Afiliado,La recoge el servicio de aseo
996,07/27/2021 12:00:00 AM,60,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La María,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,14:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,750000.0,Productos agrícolas,NS/NR,NS/NR,Magdalena,"No, nací en otro municipio",NS/NR,Subsidiado,Taxi Colectivo,Bachiller,No afiliado,La recoge el servicio de aseo
997,07/27/2021 12:00:00 AM,54,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,Fuera de Cartagena. ¿Dónde?,Alameda La Victoria,NS/NR,NS/NR,Bolívar,Santa Rosa,02:00:00.000-05:00,15:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,Bus/Buseta intermunicipal,Primaria incompleta,No afiliado,La recoge el servicio de aseo
998,07/27/2021 12:00:00 AM,46,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,07:00:00.000-05:00,16:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,90000.0,Bebidas,Venezuela,NS/NR,NS/NR,"No, nací en otro país",NS/NR,No afiliado,Mototaxi,Universitario,No afiliado,La recoge el servicio de aseo
999,07/27/2021 12:00:00 AM,35,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,17:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,600000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Moto propia,Bachiller,No afiliado,La recoge el servicio de aseo
1001,07/27/2021 12:00:00 AM,55,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Altos de San Isidro,NS/NR,NS/NR,NS/NR,NS/NR,05:30:00.000-05:00,16:30:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria completa,No afiliado,La recoge el servicio de aseo
1002,07/27/2021 12:00:00 AM,56,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,España,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,18:30:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,500000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria incompleta,No afiliado,La recoge el servicio de aseo
1003,07/27/2021 12:00:00 AM,33,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Ceballos,NS/NR,NS/NR,NS/NR,NS/NR,04:00:00.000-05:00,17:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,NS/NR,NS/NR,Comercio al por menor,250000.0,"Leche, productos lácteos y huevos",Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Bachiller,Afiliado,La recoge el servicio de aseo
1005,07/30/2021 12:00:00 AM,69,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NS/NR,No tiene: Trabajador,En la zona urbana de Cartagena,El Pozón,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,17:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Venta de hueso,Comercio al por menor,50000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Básica completa,No afiliado,La recoge el servicio de aseo
1006,07/30/2021 12:00:00 AM,67,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,14:30:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,60000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Primaria incompleta,No afiliado,La recoge el servicio de aseo
1007,07/30/2021 12:00:00 AM,58,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,03:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,63000.0,Bebidas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,A pie,Primaria completa,No afiliado,La recoge un servicio informal
1008,07/30/2021 12:00:00 AM,48,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,República de Chile,NS/NR,NS/NR,NS/NR,NS/NR,04:00:00.000-05:00,14:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Alquiler de carretas,Comercio al por menor,50000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Básica completa,No afiliado,La recoge el servicio de aseo
1009,07/30/2021 12:00:00 AM,66,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,"Pareja, esposo(a), cónyuge, compañero(a)",En la zona urbana de Cartagena,La Consolata,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,16:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Venta de fritos,Comercio al por menor,100000.0,Solo ofrezco servicios.,NS/NR,NS/NR,Córdoba,"No, nací en otro municipio",NS/NR,Subsidiado,Jeep Colectivo,Primaria incompleta,No afiliado,La recoge el servicio de aseo
1010,07/30/2021 12:00:00 AM,64,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,República de Chile,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,15:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Refresqueria,Comercio al por menor,300000.0,Solo ofrezco servicios.,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,Jeep Colectivo,Bachiller,No afiliado,La recoge el servicio de aseo
1012,07/30/2021 12:00:00 AM,32,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,16:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Venta de viveres y abarrotes,Comercio al por menor,300000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Bachiller,No afiliado,La recoge el servicio de aseo
1013,07/30/2021 12:00:00 AM,56,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,04:00:00.000-05:00,11:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,60000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Básica completa,No afiliado,La recoge el servicio de aseo
1014,07/30/2021 12:00:00 AM,42,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,03:00:00.000-05:00,12:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,700000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,Mototaxi,Técnico o tecnológico,No afiliado,La recoge el servicio de aseo
1016,07/30/2021 12:00:00 AM,47,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,06:30:00.000-05:00,16:30:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Productos de limpieza,Comercio al por menor,200000.0,Solo ofrezco servicios.,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,No afiliado,Bus/Buseta urbana,Bachiller,No afiliado,La recoge el servicio de aseo
1017,07/30/2021 12:00:00 AM,81,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona rural de Cartagena,La Candelaria,NS/NR,Turbaco,NS/NR,NS/NR,05:00:00.000-05:00,17:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,100000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",Trabajo,Subsidiado,Bus/Buseta intermunicipal,Primaria completa,No afiliado,La recoge el servicio de aseo
1019,07/28/2021 12:00:00 AM,61,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,21:00:00.000-05:00,13:01:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,1000000.0,Productos agrícolas,NS/NR,NS/NR,Norte de Santander,"No, nací en otro municipio",NS/NR,Subsidiado,Taxi Colectivo,Primaria completa,No afiliado,La recoge el servicio de aseo
1087,07/30/2021 12:00:00 AM,59,Masculino,Afrodescendiente o negro,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La María,NS/NR,NS/NR,NS/NR,NS/NR,04:00:00.000-05:00,15:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Primaria incompleta,No afiliado,La recoge el servicio de aseo
1020,07/28/2021 12:00:00 AM,63,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Chiquinquirá,NS/NR,NS/NR,NS/NR,NS/NR,17:00:00.000-05:00,11:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,800000.0,Productos agrícolas,NS/NR,NS/NR,Córdoba,"No, nací en otro municipio",NS/NR,NS/NR,Taxi Colectivo,Primaria incompleta,No afiliado,La recoge el servicio de aseo
1021,07/28/2021 12:00:00 AM,49,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,07:00:00.000-05:00,18:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,Viveres y abarrotes,Comercio al por menor,250000.0,Solo ofrezco servicios.,NS/NR,NS/NR,Magdalena,"No, nací en otro municipio",NS/NR,NS/NR,Moto propia,Bachiller,No afiliado,La recoge el servicio de aseo
1022,07/28/2021 12:00:00 AM,27,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Barrio Chino,NS/NR,NS/NR,NS/NR,NS/NR,02:00:00.000-05:00,18:00:00.000-05:00,4,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,3000000.0,Productos agrícolas,NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,Taxi Colectivo,Básica completa,No afiliado,La recoge el servicio de aseo
1023,07/30/2021 12:00:00 AM,70,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Altos de San Isidro,NS/NR,NS/NR,NS/NR,NS/NR,08:00:00.000-05:00,16:00:00.000-05:00,0,0.0,NS/NR,Sin información,NS/NR,NO,NS/NR,NS/NR,Reparación de celulares y reloj,Comercio al por menor,100000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Bachiller,No afiliado,La recoge el servicio de aseo
1024,07/30/2021 12:00:00 AM,46,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Amberes,NS/NR,NS/NR,NS/NR,NS/NR,10:00:00.000-05:00,16:00:00.000-05:00,3,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,500000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Taxi Colectivo,Básica completa,No afiliado,La recoge el servicio de aseo
1025,07/30/2021 12:00:00 AM,47,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La Candelaria,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,17:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,500000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Bus/Buseta urbana,Básica completa,No afiliado,La recoge el servicio de aseo
1026,07/30/2021 12:00:00 AM,39,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Fredonia,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,16:30:00.000-05:00,5,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,600000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Moto propia,Bachiller,No afiliado,La recoge el servicio de aseo
1028,07/30/2021 12:00:00 AM,59,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,"Pareja, esposo(a), cónyuge, compañero(a)",En la zona urbana de Cartagena,Boston,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,15:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,200000.0,Solo ofrezco servicios.,NS/NR,NS/NR,Sucre,"No, nací en otro municipio",NS/NR,Subsidiado,Bus/Buseta urbana,Primaria completa,No afiliado,La recoge el servicio de aseo
1029,07/30/2021 12:00:00 AM,59,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Marbella,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,15:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,200000.0,"Productos farmacéuticos y medicinales, cosméticos y artículos de tocador",NS/NR,NS/NR,Bolívar,"No, nací en otro municipio",NS/NR,Subsidiado,Mototaxi,Básica completa,No afiliado,La recoge el servicio de aseo
1030,07/30/2021 12:00:00 AM,52,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Bosque,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,14:00:00.000-05:00,1,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Carnes,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Básica completa,No afiliado,La recoge el servicio de aseo
1031,07/27/2021 12:00:00 AM,70,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Olaya Herrera,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,18:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Básica completa,No afiliado,La pone en los colectores de basura o canecas
1032,07/27/2021 12:00:00 AM,59,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Bruselas,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,17:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,300000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Contributivo,Taxi Colectivo,Primaria completa,No afiliado,La pone en los colectores de basura o canecas
1033,07/27/2021 12:00:00 AM,50,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,17:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Productos agrícolas,NS/NR,NS/NR,Sucre,"No, nací en otro municipio",NS/NR,Subsidiado,Taxi Colectivo,Primaria completa,Afiliado,La pone en los colectores de basura o canecas
1034,07/27/2021 12:00:00 AM,56,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La Consolata,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,18:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Primaria completa,No afiliado,La pone en los colectores de basura o canecas
1035,07/27/2021 12:00:00 AM,34,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,La Esperanza,NS/NR,NS/NR,NS/NR,NS/NR,03:30:00.000-05:00,18:30:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,300000.0,Productos agrícolas,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Mototaxi,Bachiller,No afiliado,La pone en los colectores de basura o canecas
1036,07/27/2021 12:00:00 AM,57,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Pablo VI I y lI,NS/NR,NS/NR,NS/NR,NS/NR,04:00:00.000-05:00,18:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Carnes,NS/NR,NS/NR,Sucre,"No, nací en otro municipio",NS/NR,Subsidiado,Taxi Colectivo,Primaria completa,No afiliado,La pone en los colectores de basura o canecas
1037,07/27/2021 12:00:00 AM,22,Femenino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,San Francisco,NS/NR,NS/NR,NS/NR,NS/NR,06:00:00.000-05:00,15:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,"Leche, productos lácteos y huevos",NS/NR,NS/NR,NS/NR,"No, nací en otro municipio",NS/NR,Subsidiado,Taxi Colectivo,Técnico o tecnológico,No afiliado,La pone en los colectores de basura o canecas
1038,07/30/2021 12:00:00 AM,51,Masculino,Ninguno de los anteriores,0,NO,Sin discapacidad,SI,Otro pariente,En la zona urbana de Cartagena,San José de los Campanos,NS/NR,NS/NR,NS/NR,NS/NR,10:00:00.000-05:00,16:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,400000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,A pie,Bachiller,No afiliado,La pone en los colectores de basura o canecas
1039,07/30/2021 12:00:00 AM,63,Masculino,Ninguno de los anteriores,1,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,NS/NR,NS/NR,NS/NR,NS/NR,NS/NR,08:00:00.000-05:00,17:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,False,NS/NR,Comercio al por menor,200000.0,Otros productos nuevos,NS/NR,NS/NR,NS/NR,"No, nací en otro municipio",NS/NR,Subsidiado,Bicicleta,Primaria completa,Afiliado,La pone en los colectores de basura o canecas
1040,07/30/2021 12:00:00 AM,49,Masculino,Ninguno de los anteriores,1,SI,Sin discapacidad,NO,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Loma Fresca,NS/NR,NS/NR,NS/NR,NS/NR,00:00:00.000-05:00,00:00:00.000-05:00,0,0.0,NS/NR,Sin información,False,NS/NR,NS/NR,NS/NR,NS/NR,Comercio al por menor,0.0,Solo ofrezco servicios.,NS/NR,NS/NR,NS/NR,"No, nací en otro municipio",NS/NR,NS/NR,A pie,Bachiller,Afiliado,La recoge el servicio de aseo
1041,07/30/2021 12:00:00 AM,26,Masculino,Ninguno de los anteriores,1,NO,Sin discapacidad,SI,Yo soy el Jefe(a) del hogar,En la zona urbana de Cartagena,Boston,NS/NR,NS/NR,NS/NR,NS/NR,05:00:00.000-05:00,17:00:00.000-05:00,2,0.0,Verbal,Sin información,False,NS/NR,NS/NR,NS/NR,NS/NR,Comercio al por menor,300000.0,Solo ofrezco servicios.,Colombia,Cartagena,Bolívar,Sí,NS/NR,Subsidiado,Moto propia,Universitario,No afiliado,La pone en los colectores de basura o canecas
